path,size,mtime,basename,ext,experiment,epoch,fingerprint
/mnt/12tb-hdd-A/dreamslab_home/jdas/Downloads/Mask_RCNN/mask_rcnn_coco.h5,257557808,1678263912,mask_rcnn_coco.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Downloads/Mask_RCNN,,5529083e342b774c7195f3e0c22ab192
/mnt/12tb-hdd-A/dreamslab_home/jdas/data_hdd/Mask_RCNN/mask_rcnn_coco.h5,257557808,1678267118,mask_rcnn_coco.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/data_hdd/Mask_RCNN,,5529083e342b774c7195f3e0c22ab192
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/mask_rcnn_coco.h5,257557808,1678264098,mask_rcnn_coco.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN,,5529083e342b774c7195f3e0c22ab192
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0014.h5,255858144,1678265673,mask_rcnn_camtraps_0014.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,ffebc4034fbb320c8233ef773c85a712
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0006.h5,255858144,1678265526,mask_rcnn_camtraps_0006.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,49670cd45d91100137e416dd0e38fad2
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0003.h5,255858144,1678265470,mask_rcnn_camtraps_0003.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,ca3d1a10896739c607aab405bcc3230f
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0012.h5,255858144,1678265635,mask_rcnn_camtraps_0012.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,c1798e2616d2b01b4be608ee50ea5093
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0002.h5,255858144,1678265452,mask_rcnn_camtraps_0002.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,51bde223b24d606cb2dd389dd6ad0ffb
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0019.h5,255858144,1678265768,mask_rcnn_camtraps_0019.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,22b8e63572a597398d3858cca494c5fa
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0028.h5,255858144,1678265933,mask_rcnn_camtraps_0028.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,fe7775f47a301fa6df56677fe4f7ada1
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0024.h5,255858144,1678265866,mask_rcnn_camtraps_0024.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,0244bbf72fcef26807b2072d10ba0150
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0004.h5,255858144,1678265489,mask_rcnn_camtraps_0004.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,6668b6c899a54d0d89589b1bc0be2565
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0025.h5,255858144,1678265884,mask_rcnn_camtraps_0025.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,e014387c8b04d23e2734d496a0980acf
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0021.h5,255858144,1678265807,mask_rcnn_camtraps_0021.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,47406ad756ddc425829b31bd3a154363
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0030.h5,255858144,1678265964,mask_rcnn_camtraps_0030.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,9e320ee903088da1ee23db48090e23d4
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0008.h5,255858144,1678265565,mask_rcnn_camtraps_0008.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,ebce86c1ce8ebf444c18c3dca0280860
/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007/mask_rcnn_camtraps_0018.h5,255858144,1678265749,mask_rcnn_camtraps_0018.h5,.h5,/mnt/12tb-hdd-A/dreamslab_home/jdas/Mask_RCNN/logs/camtraps20181218T0007,,0ed38eae0a1020151999cff0cc199cd6
